"id","القرية","العزلة","المديرية","المحافظة"
54,"ذعفه","المويه","اب","اب"
55,"ذي سريره","المويه","اب","اب"
56,"سكران","المويه","اب","اب"
57,"الجبب","بلادشار","اب","اب"
58,"الجرنين","بلادشار","اب","اب"
59,"الجيير","بلادشار","اب","اب"
60,"الحولين","بلادشار","اب","اب"
61,"الدقيقه","بلادشار","اب","اب"
62,"السهله","بلادشار","اب","اب"
63,"الضحيكه","بلادشار","اب","اب"
64,"الفعاشي","بلادشار","اب","اب"
65,"القرات","بلادشار","اب","اب"
66,"الكريف","بلادشار","اب","اب"
67,"المعطن","بلادشار","اب","اب"
68,"عدن مغربه","بلادشار","اب","اب"
69,"نقيل الدجري","بلادشار","اب","اب"
70,"نقيل السنف","بلادشار","اب","اب"
71,"الحنامي","بني محرم","اب","اب"
72,"الخرشبه","بني محرم","اب","اب"
73,"الذنيبه","بني محرم","اب","اب"
74,"السهله","بني محرم","اب","اب"
75,"القبلي","بني محرم","اب","اب"
76,"المسوح","بني محرم","اب","اب"
77,"المنائى","بني محرم","اب","اب"
78,"جبل مشرقى","بني محرم","اب","اب"
79,"سواد","بني محرم","اب","اب"
80,"صرعدد","بني محرم","اب","اب"
81,"معريه","بني محرم","اب","اب"
82,"منزل الشعراني","بني محرم","اب","اب"
83,"الاكمه","بني مدسم","اب","اب"
84,"الجبانه","بني مدسم","اب","اب"
85,"الربيض","بني مدسم","اب","اب"
86,"السليف","بني مدسم","اب","اب"
87,"الشعب الداخل","بني مدسم","اب","اب"
88,"الشعب الكبير","بني مدسم","اب","اب"
89,"المغسال","بني مدسم","اب","اب"
90,"النجد","بني مدسم","اب","اب"
91,"حصايه","بني مدسم","اب","اب"
92,"سائله العين","بني مدسم","اب","اب"
93,"عدن الذيب","بني مدسم","اب","اب"
94,"عرش القيف","بني مدسم","اب","اب"
95,"علياب","بني مدسم","اب","اب"
96,"منزل الركه","بني مدسم","اب","اب"
97,"الخربه","ثواب اعلى","اب","اب"
98,"الشجاف","ثواب اعلى","اب","اب"
99,"الكحافى","ثواب اعلى","اب","اب"
100,"المشاعبه","ثواب اعلى","اب","اب"
101,"المشعب","ثواب اعلى","اب","اب"
102,"المعرن","ثواب اعلى","اب","اب"
103,"حير","ثواب اعلى","اب","اب"
104,"خبائه","ثواب اعلى","اب","اب"
105,"ذي حبيش","ثواب اعلى","اب","اب"
106,"ظهره الساده","ثواب اعلى","اب","اب"
107,"مشوره","ثواب اعلى","اب","اب"
108,"الاحقري","جبل معود","اب","اب"
109,"الاسهوم","جبل معود","اب","اب"
110,"الجميمه","جبل معود","اب","اب"
111,"الجوز","جبل معود","اب","اب"
112,"الحجر","جبل معود","اب","اب"
113,"الدخله","جبل معود","اب","اب"
114,"الرباط","جبل معود","اب","اب"
115,"السمارى","جبل معود","اب","اب"
116,"الشبر","جبل معود","اب","اب"
117,"العدوف","جبل معود","اب","اب"
118,"العر","جبل معود","اب","اب"
119,"العفيف","جبل معود","اب","اب"
120,"العكفه","جبل معود","اب","اب"
121,"الغراب","جبل معود","اب","اب"
122,"المالح","جبل معود","اب","اب"
123,"المجدبه","جبل معود","اب","اب"
124,"المحاشه","جبل معود","اب","اب"
125,"المنقل","جبل معود","اب","اب"
126,"الهيجه","جبل معود","اب","اب"
127,"الولي","جبل معود","اب","اب"
128,"بيت الجبل","جبل معود","اب","اب"
129,"تبان","جبل معود","اب","اب"
130,"جبل برط","جبل معود","اب","اب"
131,"شعبه الرمادي","جبل معود","اب","اب"
132,"عرض الجبوب","جبل معود","اب","اب"
133,"عشاي","جبل معود","اب","اب"
134,"عقد","جبل معود","اب","اب"
135,"عليان","جبل معود","اب","اب"
136,"فراد","جبل معود","اب","اب"
137,"محجر السيفي","جبل معود","اب","اب"
138,"معري","جبل معود","اب","اب"
139,"منقذه","جبل معود","اب","اب"
140,"العارضه","حرد","اب","اب"
141,"القيف","حرد","اب","اب"
142,"اللفج","حرد","اب","اب"
143,"الممسا الداخل","حرد","اب","اب"
144,"ذى محبش","حرد","اب","اب"
145,"الاكامى","ريمان","اب","اب"
146,"البرعات","ريمان","اب","اب"
147,"الجائه","ريمان","اب","اب"
148,"الجرجره","ريمان","اب","اب"
149,"الحصن","ريمان","اب","اب"
150,"الحيمه","ريمان","اب","اب"
151,"العلايه","ريمان","اب","اب"
152,"المجنن","ريمان","اب","اب"
153,"المحاقر","ريمان","اب","اب"
154,"المحجر","ريمان","اب","اب"
155,"النوبه","ريمان","اب","اب"
156,"دار الشرف","ريمان","اب","اب"
157,"ذى حجنب","ريمان","اب","اب"
158,"شاكان","ريمان","اب","اب"
159,"قاحان السفلى","ريمان","اب","اب"
160,"قاحان العليا","ريمان","اب","اب"
161,"قماله","ريمان","اب","اب"
162,"محضرة","ريمان","اب","اب"
163,"منزل حرف","ريمان","اب","اب"
164,"منزل موسي","ريمان","اب","اب"
165,"هير","ريمان","اب","اب"
166,"الجبجبه","شعب يافع","اب","اب"
167,"الجديد","شعب يافع","اب","اب"
168,"الجرابي","شعب يافع","اب","اب"
169,"الحجفه","شعب يافع","اب","اب"
170,"الحرجه","شعب يافع","اب","اب"
171,"الخيراف","شعب يافع","اب","اب"
172,"الدثئه","شعب يافع","اب","اب"
173,"السره","شعب يافع","اب","اب"
174,"الصافيه","شعب يافع","اب","اب"
175,"الضبه","شعب يافع","اب","اب"
176,"الظاهر","شعب يافع","اب","اب"
177,"الظرائمه","شعب يافع","اب","اب"
178,"الظهره","شعب يافع","اب","اب"
179,"العراقى","شعب يافع","اب","اب"
180,"العريش","شعب يافع","اب","اب"
181,"العوادى","شعب يافع","اب","اب"
182,"الفاش","شعب يافع","اب","اب"
183,"القرائي","شعب يافع","اب","اب"
184,"القلعه","شعب يافع","اب","اب"
185,"المجمعه","شعب يافع","اب","اب"
186,"المحجر","شعب يافع","اب","اب"
187,"المحدادة","شعب يافع","اب","اب"
188,"المحرقه","شعب يافع","اب","اب"
189,"المحل","شعب يافع","اب","اب"
190,"المدقه","شعب يافع","اب","اب"
191,"المررزوم","شعب يافع","اب","اب"
192,"المرزوقه","شعب يافع","اب","اب"
193,"المصانع","شعب يافع","اب","اب"
194,"المعبر","شعب يافع","اب","اب"
195,"المعين","شعب يافع","اب","اب"
196,"حصن بن شايع","شعب يافع","اب","اب"
197,"خرائب نصر","شعب يافع","اب","اب"
198,"ذى حمادة","شعب يافع","اب","اب"
199,"ذى شيبه","شعب يافع","اب","اب"
200,"رجاح","شعب يافع","اب","اب"
201,"شعب الجمل","شعب يافع","اب","اب"
202,"شعب الضيف","شعب يافع","اب","اب"
203,"صبل الكربه","شعب يافع","اب","اب"
204,"طنبه","شعب يافع","اب","اب"
205,"قريضة العليا","شعب يافع","اب","اب"
206,"قريضه السفلى","شعب يافع","اب","اب"
207,"كسابه","شعب يافع","اب","اب"
208,"مواقع","شعب يافع","اب","اب"
209,"نوابه السفلى","شعب يافع","اب","اب"
210,"نوابه العليا","شعب يافع","اب","اب"
211,"الجاح","ميتم","اب","اب"
212,"الجاشه","ميتم","اب","اب"
213,"الجحله","ميتم","اب","اب"
214,"الخرابه","ميتم","اب","اب"
215,"الرجمه","ميتم","اب","اب"
216,"الساكن","ميتم","اب","اب"
217,"السلق","ميتم","اب","اب"
218,"الضرائم","ميتم","اب","اب"
219,"المشراق","ميتم","اب","اب"
220,"المقلوع","ميتم","اب","اب"
221,"المناخ","ميتم","اب","اب"
222,"النافش","ميتم","اب","اب"
223,"دار الغيل","ميتم","اب","اب"
224,"ذي سود","ميتم","اب","اب"
225,"ذى صيله","ميتم","اب","اب"
226,"ذى عجزب","ميتم","اب","اب"
227,"سوق الثلوث","ميتم","اب","اب"
228,"عراجز","ميتم","اب","اب"
229,"مصريات","ميتم","اب","اب"
230,"موران","ميتم","اب","اب"
231,"اضمده","أزال","الرضمه","اب"
232,"الاجلب","أزال","الرضمه","اب"
233,"التربه عمار","أزال","الرضمه","اب"
234,"التويره","أزال","الرضمه","اب"
235,"الخرابه","أزال","الرضمه","اب"
236,"الخربه","أزال","الرضمه","اب"
237,"المصنعه","أزال","الرضمه","اب"
238,"بيت البدري","أزال","الرضمه","اب"
239,"بيت الحنش","أزال","الرضمه","اب"
240,"بيت بدر","أزال","الرضمه","اب"
241,"بيت سيدم","أزال","الرضمه","اب"
242,"ذالحبيب","أزال","الرضمه","اب"
243,"هبر","أزال","الرضمه","اب"
244,"الخربه","البكرة","الرضمه","اب"
245,"الديارة","البكرة","الرضمه","اب"
246,"الغيلي الحيظاني","البكرة","الرضمه","اب"
247,"القدمه","البكرة","الرضمه","اب"
248,"المعاين","البكرة","الرضمه","اب"
249,"المعزبه","البكرة","الرضمه","اب"
250,"الملاحه","البكرة","الرضمه","اب"
251,"الهجره","البكرة","الرضمه","اب"
252,"بيت الذيباني السفلى","البكرة","الرضمه","اب"
253,"بيت المحيا","البكرة","الرضمه","اب"
254,"بيت الواقدي","البكرة","الرضمه","اب"
255,"بيت الورد","البكرة","الرضمه","اب"
256,"بيت محمود","البكرة","الرضمه","اب"
257,"حجل","البكرة","الرضمه","اب"
258,"حرمه","البكرة","الرضمه","اب"
259,"غيلى النجار","البكرة","الرضمه","اب"
260,"منيف","البكرة","الرضمه","اب"
261,"هجاره","البكرة","الرضمه","اب"
262,"الخبانيه","حارث الحيدرى","الرضمه","اب"
263,"بيت الحيدري","حارث الحيدرى","الرضمه","اب"
264,"كوله باحاج","حارث الحيدرى","الرضمه","اب"
265,"(دار العنب)","سودان","الرضمه","اب"
266,"المورح","سودان","الرضمه","اب"
267,"حيد الجروب","سودان","الرضمه","اب"
268,"دار سودان","سودان","الرضمه","اب"
269,"ذى اشرع","سودان","الرضمه","اب"
270,"شعب السنف","سودان","الرضمه","اب"
271,"مسوره","سودان","الرضمه","اب"
272,"معزوب العزب","سودان","الرضمه","اب"
273,"الذاري","شيزر","الرضمه","اب"
274,"القوفعه","شيزر","الرضمه","اب"
275,"المنصوره","شيزر","الرضمه","اب"
276,"قبلي","شيزر","الرضمه","اب"
277,"السرفي","عجيب","الرضمه","اب"
278,"الصلفاح","عجيب","الرضمه","اب"
279,"العرينة","عجيب","الرضمه","اب"
280,"المشرف","عجيب","الرضمه","اب"
281,"المنزل","عجيب","الرضمه","اب"
282,"بيت فقير الشيخ","عجيب","الرضمه","اب"
283,"تمار","عجيب","الرضمه","اب"
284,"جرف كلان","عجيب","الرضمه","اب"
285,"ذى عباده","عجيب","الرضمه","اب"
286,"سهوان","عجيب","الرضمه","اب"
287,"شعب العبيدي","عجيب","الرضمه","اب"
288,"مدكم","عجيب","الرضمه","اب"
289,"هامه","عجيب","الرضمه","اب"
290,"السواده","كحلان","الرضمه","اب"
291,"الشياح","كحلان","الرضمه","اب"
292,"الصبار","كحلان","الرضمه","اب"
293,"الصومعه","كحلان","الرضمه","اب"
294,"العجمه","كحلان","الرضمه","اب"
295,"القحيزه","كحلان","الرضمه","اب"
296,"القفله","كحلان","الرضمه","اب"
297,"المطلاح","كحلان","الرضمه","اب"
298,"النجد الاحمر","كحلان","الرضمه","اب"
299,"بيت ابو عسر الاعلى","كحلان","الرضمه","اب"
300,"بيت الاقرع","كحلان","الرضمه","اب"
301,"بيت السباعيى","كحلان","الرضمه","اب"
302,"بيت العشاوي","كحلان","الرضمه","اب"
303,"بيت القهبري","كحلان","الرضمه","اب"
304,"بيت المقبلى","كحلان","الرضمه","اب"
305,"بيت حنيش","كحلان","الرضمه","اب"
306,"بيت عدنه","كحلان","الرضمه","اب"
307,"جرف الحمام","كحلان","الرضمه","اب"
308,"حبلة الجرادي","كحلان","الرضمه","اب"
309,"حرف العمرى","كحلان","الرضمه","اب"
310,"حصن كحلان","كحلان","الرضمه","اب"
311,"ذرو","كحلان","الرضمه","اب"
312,"ذى الصولع السفلى","كحلان","الرضمه","اب"
313,"ذى الصولع العليا","كحلان","الرضمه","اب"
314,"ذي حشران","كحلان","الرضمه","اب"
315,"ذى لحيه","كحلان","الرضمه","اب"
316,"ذي يعلل","كحلان","الرضمه","اب"
317,"شمضه","كحلان","الرضمه","اب"
318,"عميقة","كحلان","الرضمه","اب"
319,"قرعد","كحلان","الرضمه","اب"
320,"مزيج","كحلان","الرضمه","اب"
321,"همدان","كحلان","الرضمه","اب"
322,"(زبيد)","يحير","الرضمه","اب"
323,"الجرف الاسفل","يحير","الرضمه","اب"
324,"الجرف الاعلى","يحير","الرضمه","اب"
325,"الحديدة","يحير","الرضمه","اب"
326,"بيت الزوم","يحير","الرضمه","اب"
327,"بيت العباب","يحير","الرضمه","اب"
328,"بيت حميد","يحير","الرضمه","اب"
329,"بيت عبده","يحير","الرضمه","اب"
330,"ذي شعبه","يحير","الرضمه","اب"
331,"موسد","يحير","الرضمه","اب"
332,"ادمات","الابروه","السبره","اب"
333,"الجرفه","الابروه","السبره","اب"
334,"السحيه","الابروه","السبره","اب"
335,"المدهاره","الابروه","السبره","اب"
336,"المعفده","الابروه","السبره","اب"
337,"حجر","الابروه","السبره","اب"
338,"شمسان","الابروه","السبره","اب"
339,"احوال قيس","الاخلود","السبره","اب"
340,"ذي البليس","الاخلود","السبره","اب"
341,"عشب","الاخلود","السبره","اب"
342,"وادي الصراح","الاخلود","السبره","اب"
343,"التربه","التربه","السبره","اب"
344,"العشوه","التربه","السبره","اب"
345,"المقيبرة","التربه","السبره","اب"
346,"دار السمايا","التربه","السبره","اب"
347,"الاشعاب","المساعده","السبره","اب"
348,"الذراع","المساعده","السبره","اب"
349,"الضلاع","المساعده","السبره","اب"
350,"المنزل","المساعده","السبره","اب"
351,"ذي فريع","المساعده","السبره","اب"
352,"كبار","المساعده","السبره","اب"
353,"نجد المحطه","المساعده","السبره","اب"
354,"الاكيمه","بلادالجماعي","السبره","اب"
355,"الحبيل","بلادالجماعي","السبره","اب"
356,"الحقل","بلادالجماعي","السبره","اب"
357,"الصيحار","بلادالجماعي","السبره","اب"
358,"اييب العليا","بلادالجماعي","السبره","اب"
359,"جري جماعي","بلادالجماعي","السبره","اب"
360,"نجد الجماعي","بلادالجماعي","السبره","اب"
361,"الجوارف","بلادالشعيبي السفلى","السبره","اب"
362,"الحود","بلادالشعيبي السفلى","السبره","اب"
363,"الشاجبه","بلادالشعيبي السفلى","السبره","اب"
364,"الصوبان","بلادالشعيبي السفلى","السبره","اب"
365,"العريش","بلادالشعيبي السفلى","السبره","اب"
366,"العنبره","بلادالشعيبي السفلى","السبره","اب"
367,"القرين","بلادالشعيبي السفلى","السبره","اب"
368,"المقهايه","بلادالشعيبي السفلى","السبره","اب"
369,"بني ويس","بلادالشعيبي السفلى","السبره","اب"
370,"بيت العودي","بلادالشعيبي السفلى","السبره","اب"
371,"حبيل السوق","بلادالشعيبي السفلى","السبره","اب"
372,"الاصمين","بلادالشعيبي العليا","السبره","اب"
373,"الريامه","بلادالشعيبي العليا","السبره","اب"
374,"السلقع","بلادالشعيبي العليا","السبره","اب"
375,"الشقات","بلادالشعيبي العليا","السبره","اب"
376,"الغبيراء","بلادالشعيبي العليا","السبره","اب"
377,"القبه","بلادالشعيبي العليا","السبره","اب"
378,"الموجر","بلادالشعيبي العليا","السبره","اب"
379,"بيت العداش","بلادالشعيبي العليا","السبره","اب"
380,"جباالحود","بلادالشعيبي العليا","السبره","اب"
381,"حبيل الدار","بلادالشعيبي العليا","السبره","اب"
382,"رجيعه","بلادالشعيبي العليا","السبره","اب"
383,"الحجريه","بني عاطف","السبره","اب"
384,"الهوبه","بني عاطف","السبره","اب"
385,"سبره بني عاطف","بني عاطف","السبره","اب"
386,"الدجادج","عروان","السبره","اب"
387,"الشراحي","عروان","السبره","اب"
388,"الشياعي","عروان","السبره","اب"
389,"اللحج","عروان","السبره","اب"
390,"جدابه","عروان","السبره","اب"
391,"جري عروان","عروان","السبره","اب"
392,"ذي عدن","عروان","السبره","اب"
393,"سالفون","عروان","السبره","اب"
394,"منعم","عروان","السبره","اب"
395,"الدمينه","عينان","السبره","اب"
396,"الرخمه","عينان","السبره","اب"
397,"القفل","عينان","السبره","اب"
398,"ذوعسل","عينان","السبره","اب"
399,"عدن محلاق","عينان","السبره","اب"
400,"غضار","عينان","السبره","اب"
401,"القرضي","مطايه","السبره","اب"
402,"الكرب","مطايه","السبره","اب"
403,"المحاط","مطايه","السبره","اب"
404,"المحباب","مطايه","السبره","اب"
405,"جاعره السفلى","مطايه","السبره","اب"
406,"حسل","مطايه","السبره","اب"
407,"حلاكه","مطايه","السبره","اب"
408,"ذي جرادة","مطايه","السبره","اب"
409,"سبره","مطايه","السبره","اب"
410,"عرض الاعور","مطايه","السبره","اب"
411,"مطايه","مطايه","السبره","اب"
412,"منزل الطاحون","مطايه","السبره","اب"
413,"منزل على","مطايه","السبره","اب"
414,"الاحواد","الاعماس","السده","اب"
415,"الاغراب","الاعماس","السده","اب"
416,"الجبل","الاعماس","السده","اب"
417,"الجدني","الاعماس","السده","اب"
418,"الجوبل","الاعماس","السده","اب"
419,"الخاسعة","الاعماس","السده","اب"
420,"الصيره","الاعماس","السده","اب"
421,"القلعي","الاعماس","السده","اب"
422,"المشر","الاعماس","السده","اب"
423,"المضباع","الاعماس","السده","اب"
424,"المواسك","الاعماس","السده","اب"
425,"بيت الجحينه","الاعماس","السده","اب"
426,"بيت الراعي","الاعماس","السده","اب"
427,"بيت الرميصة","الاعماس","السده","اب"
428,"بيت الشامي","الاعماس","السده","اب"
429,"بيت العميسي","الاعماس","السده","اب"
430,"بيت العولقي","الاعماس","السده","اب"
431,"بيت الفايق","الاعماس","السده","اب"
432,"بيت المجذوب","الاعماس","السده","اب"
433,"بيت بهزر","الاعماس","السده","اب"
434,"بيت صالح مثني","الاعماس","السده","اب"
435,"بيت عباد","الاعماس","السده","اب"
436,"بيت عبدالكريم","الاعماس","السده","اب"
437,"بيت محن","الاعماس","السده","اب"
438,"بيت يحوق","الاعماس","السده","اب"
439,"حوره","الاعماس","السده","اب"
440,"خرابة طاهر","الاعماس","السده","اب"
441,"خيذيان","الاعماس","السده","اب"
442,"ظبية","الاعماس","السده","اب"
443,"عفار","الاعماس","السده","اب"
444,"معزوب الاشرم","الاعماس","السده","اب"
445,"نقيل البياض","الاعماس","السده","اب"
446,"الجراجر","التويتي","السده","اب"
447,"الجرجره","التويتي","السده","اب"
448,"الجنح","التويتي","السده","اب"
449,"الخدره","التويتي","السده","اب"
450,"الدنوه","التويتي","السده","اب"
451,"الريامي","التويتي","السده","اب"
452,"السور","التويتي","السده","اب"
453,"الصول","التويتي","السده","اب"
454,"المذابب","التويتي","السده","اب"
455,"المعزبه","التويتي","السده","اب"
456,"المنازل","التويتي","السده","اب"
457,"النبيجه","التويتي","السده","اب"
458,"بيت اللبود","التويتي","السده","اب"
459,"بيت علايه","التويتي","السده","اب"
460,"ثعلان","التويتي","السده","اب"
461,"جرف المولد","التويتي","السده","اب"
462,"حقاب","التويتي","السده","اب"
463,"دار التويتي","التويتي","السده","اب"
464,"ذي الحبشي","التويتي","السده","اب"
465,"ذي بقط","التويتي","السده","اب"
466,"ذي شمار","التويتي","السده","اب"
467,"ذي عسال","التويتي","السده","اب"
468,"ذي محانظ","التويتي","السده","اب"
469,"ذي هبور","التويتي","السده","اب"
470,"منزل غراب","التويتي","السده","اب"
471,"يداخ","التويتي","السده","اب"
472,"ابعار","الزعلاء","السده","اب"
473,"الاغبري","الزعلاء","السده","اب"
474,"الجمري","الزعلاء","السده","اب"
475,"الزعلاء","الزعلاء","السده","اب"
476,"المصنعه","الزعلاء","السده","اب"
477,"بلد مسلم","الزعلاء","السده","اب"
478,"بيت محرم","الزعلاء","السده","اب"
479,"جرف السفياني","الزعلاء","السده","اب"
480,"خوال","الزعلاء","السده","اب"
481,"دار سعيد","الزعلاء","السده","اب"
482,"شعب الطلب","الزعلاء","السده","اب"
483,"مقوله","الزعلاء","السده","اب"
484,"السيرة","العرافه","السده","اب"
485,"العرافة","العرافه","السده","اب"
486,"بيت الاشول","العرافه","السده","اب"
487,"بيت الجلعي","العرافه","السده","اب"
488,"بيت نصاري","العرافه","السده","اب"
489,"جبل مسعود","العرافه","السده","اب"
490,"جرف ناجي","العرافه","السده","اب"
491,"خرابة زيد","العرافه","السده","اب"
492,"ذل هلباب","العرافه","السده","اب"
493,"ذي حريم","العرافه","السده","اب"
494,"ظفار","العرافه","السده","اب"
495,"الجرامز","المرخام","السده","اب"
496,"الجلبي","المرخام","السده","اب"
497,"الضجام","المرخام","السده","اب"
498,"الضيعه","المرخام","السده","اب"
499,"العدن","المرخام","السده","اب"
500,"الهجر","المرخام","السده","اب"
501,"بيت الشامي في المرخام","المرخام","السده","اب"
502,"بيت النسيم","المرخام","السده","اب"
503,"بيت وحيش","المرخام","السده","اب"
504,"رباط العصبات","المرخام","السده","اب"
505,"صلي","المرخام","السده","اب"
506,"ماور","المرخام","السده","اب"
507,"الحوقري","بني الحــارث","السده","اب"
508,"الدلاني","بني الحــارث","السده","اب"
509,"الديمه","بني الحــارث","السده","اب"
510,"الرزاعي","بني الحــارث","السده","اب"
511,"السر","بني الحــارث","السده","اب"
512,"الضمادي","بني الحــارث","السده","اب"
513,"المصابيح","بني الحــارث","السده","اب"
514,"الواطيه","بني الحــارث","السده","اب"
515,"ثعلان","بني الحــارث","السده","اب"
516,"جردد","بني الحــارث","السده","اب"
517,"حجوان","بني الحــارث","السده","اب"
518,"ذي الدرم","بني الحــارث","السده","اب"
519,"ذي تمار","بني الحــارث","السده","اب"
520,"رباط جوهر","بني الحــارث","السده","اب"
521,"عدن","بني الحــارث","السده","اب"
522,"كحله","بني الحــارث","السده","اب"
523,"مابة","بني الحــارث","السده","اب"
524,"مريوم","بني الحــارث","السده","اب"
525,"معود","بني الحــارث","السده","اب"
526,"الاسلاف","بني العثمانيين","السده","اب"
527,"الحيفة","بني العثمانيين","السده","اب"
528,"بيت السمة","بني العثمانيين","السده","اب"
529,"جيدان","بني العثمانيين","السده","اب"
530,"ذي عملان","بني العثمانيين","السده","اب"
531,"رباط العثماني","بني العثمانيين","السده","اب"
532,"شيعان","بني العثمانيين","السده","اب"
533,"عمام","بني العثمانيين","السده","اب"
534,"الخربه","جبل الجبالي","السده","اب"
535,"المقربه","جبل الجبالي","السده","اب"
536,"بيت الغزيل","جبل الجبالي","السده","اب"
537,"ذي الجرف","جبل الجبالي","السده","اب"
538,"الصيح","جبل حجاج","السده","اب"
539,"المكعسين","جبل حجاج","السده","اب"
540,"بيت الريشة","جبل حجاج","السده","اب"
541,"بيت العائدي","جبل حجاج","السده","اب"
542,"بيت القعود","جبل حجاج","السده","اب"
543,"حدة غليس","جبل حجاج","السده","اب"
544,"خرابة صالح","جبل حجاج","السده","اب"
545,"خيله","جبل حجاج","السده","اب"
546,"ذي جهد","جبل حجاج","السده","اب"
547,"قاشي","جبل حجاج","السده","اب"
548,"مخزق","جبل حجاج","السده","اب"
549,"الجرين","جبل عصام","السده","اب"
550,"الحقلين","جبل عصام","السده","اب"
551,"المعبر","جبل عصام","السده","اب"
552,"بيت فائق","جبل عصام","السده","اب"
553,"بيت معزب","جبل عصام","السده","اب"
554,"خدار","جبل عصام","السده","اب"
555,"هجاره","جبل عصام","السده","اب"
556,"الحرف","وادي الحبالي","السده","اب"
557,"الدوير","وادي الحبالي","السده","اب"
558,"المسقه","وادي الحبالي","السده","اب"
559,"بيت الرداعي","وادي الحبالي","السده","اب"
560,"حفزان","وادي الحبالي","السده","اب"
561,"ذي الريد","وادي الحبالي","السده","اب"
562,"عدنه","وادي الحبالي","السده","اب"
563,"نمله","وادي الحبالي","السده","اب"
564,"نيعان","وادي الحبالي","السده","اب"
565,"الخريب","وادي حجاج","السده","اب"
566,"الدرم","وادي حجاج","السده","اب"
567,"السده","وادي حجاج","السده","اب"
568,"الشعز","وادي حجاج","السده","اب"
569,"الصربي","وادي حجاج","السده","اب"
570,"المنضاح","وادي حجاج","السده","اب"
571,"بيت الاخضور","وادي حجاج","السده","اب"
572,"بيت الدبيس","وادي حجاج","السده","اب"
573,"بيت الرعيني","وادي حجاج","السده","اب"
574,"تبيح","وادي حجاج","السده","اب"
575,"حده","وادي حجاج","السده","اب"
576,"ذي بلان","وادي حجاج","السده","اب"
577,"ذي صلل","وادي حجاج","السده","اب"
578,"سواده","وادي حجاج","السده","اب"
579,"سوق الثلوث","وادي حجاج","السده","اب"
580,"عميقه","وادي حجاج","السده","اب"
581,"غيمان","وادي حجاج","السده","اب"
582,"الدثيه","وادي عصام","السده","اب"
583,"المان","وادي عصام","السده","اب"
584,"الهجرة","وادي عصام","السده","اب"
585,"بيت الشقدري","وادي عصام","السده","اب"
586,"بيت حلبوب","وادي عصام","السده","اب"
587,"جرن الدار","وادي عصام","السده","اب"
588,"وسمان","وادي عصام","السده","اب"
589,"ادنه البيضاء","الدامغ","السياني","اب"
590,"ادنه الغبرا","الدامغ","السياني","اب"
591,"الاخطور","الدامغ","السياني","اب"
592,"الجنيد","الدامغ","السياني","اب"
593,"الذراع","الدامغ","السياني","اب"
594,"السهق","الدامغ","السياني","اب"
595,"اللفج الاسفل","الدامغ","السياني","اب"
596,"اللفج الاعلى","الدامغ","السياني","اب"
597,"النجيف","الدامغ","السياني","اب"
598,"جبل احشوء","الدامغ","السياني","اب"
599,"حمومه","الدامغ","السياني","اب"
600,"دار الجبل","الدامغ","السياني","اب"
601,"دار القضاة","الدامغ","السياني","اب"
602,"دار المعرجي","الدامغ","السياني","اب"
